,clean_text,translated_text,sentimen_score,sentimen
0,49 cara ekonomi ajak orang alih dari kendara mesin bakar internal ke kendara listrik adalah masalah apakah pilih baru itu cara ekonomis masuk akal dalam jangka pendek dan,49 economic ways to encourage people to move from internal combustion engine vehicles to electric vehicles is the problem of choosing a new economic way that makes sense in the short term and,0.1531,Positif
1,pantas mobil listrik sepi nyata ada musuh,It's fitting that quiet electric cars actually have enemies,-0.4939,Negatif
2,baik kembang sendiri misal mobil esemka buat jadi mobil listrik dan baterai buat sendiri bagaimana cocok,"either develop it yourself, for example, make an Esemka car into an electric car and make your own battery, how is it suitable",0.0,Netral
3,alternator pada mobil tidak hanya peran bagai isi daya aki tapi juga suplai listrik ke seluruh sistem mobil,The alternator in a car not only plays a role in charging the battery but also supplies electricity to the entire car system,-0.0951,Negatif
4,kalau rebecca di modif jadi mobil listrik sama kang elon sabi juga sih bg,"If Rebecca was modified to be an electric car, that would be great with Elon Sabi too",0.6249,Positif
5,15 tahun lagi jadi yang sama tapi mobil dan motor sudah listrik,In 15 years it will be the same but cars and motorbikes will be electric,0.0,Netral
6,bahas mobil listrik esemka bang,"Discuss the Esemka electric car, bro",0.0,Netral
7,bahan baku batrey mobil listrik tidak hanya lithiumion satu ada bahan lain jadi investor tentu akan cari bahan yang murah banyak dan investasi mereka aman,"The raw material for electric car batteries is not just lithiumion, there are other materials, so investors will of course look for materials that are cheap and their investment is safe",0.4404,Positif
8,kalau pikir pikir saya seperti mau mobil listrik saja lihat bensin,"If I think about it, I think it's like I want an electric car, just look at petrol",0.4215,Positif
9,unair tidak ada niat buat charging station mobil listrik apa kan kalau ada jadi tambah kuatin alesan buat minta binguo ev,"UNAIR has no intention of making an electric car charging station, if there is one, that's an added reason to ask for Binguo EV.",-0.296,Negatif
10,berfikir mobil listrik bagai mobil pertama saja sudah aneh,Thinking of an electric car as the first car is already strange,-0.2023,Negatif
11,oya juga baru tau kalau benar guna mobil listrik tidak benar ramah karena listrik pun pakai batu bara seperti yang kita tau pltu bangkit listrik tenaga uap itu pakai batu bara,"Oh yes, I also just found out that using electric cars is not really friendly because even electricity uses coal, as we know, steam-powered electric power plants use coal.",-0.0374,Negatif
12,mobil esemka bukan ilusi bapak ini mau jual mobil esemkay ganti tipe elektriklistrik baru,The Esemka car is not an illusion. This man wants to sell the Esemkay car and replace it with a new electric type,0.0,Netral
13,sekali batrenya bocor juga betul sama saja ujung2nya biaya maintenance yang harus keluar besar baterai hp awet tidak lebih dari 3 tahun baterai laptop awet tidak lebih dari 5 tahun baterai mobil bisa dikira2 sendiri mobil bensin mahal di operasional mobil listrik mahal di reparasi,"once the battery leaks, it's really the same thing. In the end, the maintenance costs will be huge. Cell phone batteries last no more than 3 years. Laptop batteries last no more than 5 years. Car batteries can be considered as expensive petrol cars in operation. Electric cars are expensive to repair.",-0.2732,Negatif
14,saat ini banyak produsen mobil listrik yang telah tingkat jual iring dengan gencar upaya untuk kurang emisi karbon dari bagai negara,"Currently, many electric car manufacturers are already selling along with intensive efforts to reduce carbon emissions from various countries",0.0,Netral
15,kurang lebih irit biaya awat mobil listrik buat nabung ganti baterai kalau pakai jangka,"more or less saves on maintenance costs for electric cars, save on replacing batteries if you use a long-term one",0.4939,Positif
16,meski sudah bekal dengan baterai kapasitas besar tapi mobil listrik tetap andal aki dan fungsi juga sangat,"Even though they are equipped with large capacity batteries, electric cars are still very reliable and functional",0.0,Netral
17,dulu pernah punya motor listrik dan harus ganti baterai padahal pakai baru 12 tahun saja mana baterai lumayan mahal jadi agak trauma kalau mau beli mobil listrik,"I once had an electric motorbike and had to replace the battery even though I had only used it for 12 years, the battery was quite expensive, so it was a bit of a trauma if I wanted to buy an electric car.",-0.4215,Negatif
18,wkwkwk grgr saya habis ini jasa marga bakal punya mobil isi genset khusus buat mobil2 listrik jadi tidak perlu derek anjaaaaayyyyy pelopor tidak,"hahaha grgr I'm done with this, Jasa Marga will have a car filled with a special generator for electric cars so there's no need to tow it, pioneer or not?",0.5888,Positif
19,sempat excited dengan mobil listrik tapi kaget lihat harga baterai nya,I was excited about electric cars but was shocked to see the price of the batteries,-0.3071,Negatif
20,mau tanya kalau biaya listrik buat mobil listrik begini bulan berapa ya,"I want to ask, how much electricity costs for an electric car this month?",0.0772,Positif
21,bisa bisa overheat mobil listrik dipakein genset mobil hybrid,It's possible for an electric car to overheat using a hybrid car generator,0.0,Netral
22,mobil listrik itu tengah batere sisa cuma elektronik murah dan dead weight,Electric cars have only cheap electronics and dead weight remaining batteries,-0.6486,Negatif
23,ingin punya mobil listrik tapi sadar diri lahh ya rumah ada di pinggir,I want to have an electric car but realize that my house is on the edge,0.0387,Positif
24,nunggu 10 tahun lagi kalau mau beli mobil listrik lihat brapa duit buat ganti baterai nya memang murah cara operasional cuma jangka panjang belum tau,"wait another 10 years if you want to buy an electric car, see how much money it will cost to replace the battery, it's really cheap, how to operate, but long term, don't know yet",0.0387,Positif
25,transjakarta sekarang sepi tidak ada yang naik karena masyarakat sekarang naik nya mobil listrik saya langsung ngedumel bagai guna tj pesara tj ramai terus sudah tidak ada sepisepi nya kalau macet mah memang dari dulu kali kocak sekali,"Transjakarta is now quiet, no one rides because people now ride electric cars, I immediately grumbled as if it was useful for TJ Pesara, TJ is busy, and it's no longer quiet, it's quiet when there's a traffic jam, it's always been really funny",0.4005,Positif
26,mobil listrik begini kalau sudah umur ganti baterai 3 digit,"Electric cars are like this when they are old, replace the 3 digit battery",0.3612,Positif
27,asli bodoh banget hyundai saja dikadalin capek2 invest buat pabrik di indonesia mobil listrik cbu malah free ppnbm,"Really, it's really stupid that Hyundai just cheated, tired of investing in a factory in Indonesia, CBU electric cars even have free VAT",-0.7818,Negatif
28,inti gerah karena produk2 mobil listrik dari china mulai banjir jalan,The core is irritated because electric car products from China are starting to flood the roads,-0.4588,Negatif
29,pesan mobil online tetapi dapat nya mobil listrik kok lucuuuu,"Order a car online but get an electric car, it's so funny",0.7279,Positif
30,ini sama saja min rumit kalau tidak siap punya mobil listrik tanpa infrastruktur ngecasnya itu loh,"This is just as complicated if you're not ready to have an electric car without charging infrastructure, you know",-0.2755,Negatif
31,servicenya dari delaernya kah belum paham soal bengkel mobil listrik,The service from the dealer doesn't understand about electric car repair shops,0.0,Netral
32,mobil listrik itu awal mau narik tesla tetapi elon tidak ogah tertawa,The electric car initially wanted to attract Tesla but Elon didn't want to laugh,-0.5376,Negatif
33,tempat di mana banyak nikel yang butuh untuk baterai mobil listrik ev dan di sana akan bangun net zero industrial park dan proyek energi bersih,a place where a lot of nickel is needed for EV electric car batteries and there will be a net zero industrial park and clean energy projects built,0.5859,Positif
34,mobil listrik begini cocok memang buat city car ya min dan yang gampang cari tempat charging kalau di pelosok seperti saya ini duhhhh bagaimana iya,"An electric car like this is really suitable for a city car, bro, and it's easy to find a charging place if you're in a remote area like me, duhhhh how about that?",0.7845,Positif
35,awet battrenya bagaimana ya min kan baterai mobil listrik itu tidak bisa diperbaikin y kalau misal saya beli sd pemggunaan 5 tahun amp rusak apakah mudah amp murah biaya replacementnya dan apakah worth biaya yang dikluarin mbl ini kalau dibandingin dengan guna mbl bensin lama 5,"How long does the battery last? Min, electric car batteries can't be repaired. For example, if I bought an elementary school, the amp has been used for 5 years. Is it easy and cheap to replace and is it worth the cost of this car when compared to the use of an old petrol car?",0.6322,Positif
36,motor saja tidak laku mana mungkin mau buat pabrik mobil listrik space tip x wkwkwk rakyat masih doyan bansos,"Even motorbikes don't sell, so maybe you want to build an electric car factory. Space tip x hahaha, people still like social assistance",0.7693,Positif
37,yang buat gondok ketika mobil bensin isi bbm cukup 3 menit dan mobil listrik jam jam untuk isi daya,What makes it annoying is that petrol cars only need 3 minutes to fill up with fuel and electric cars need hours to charge.,-0.4019,Negatif
38,mobil listrik yang sering guna isi daya cepat atau fast charging bisa dampak buruk khusus pada bagi baterai,Electric cars that frequently use fast charging can have a particularly bad impact on the battery,-0.5849,Negatif
39,masih tunggu mobil listrik pakai teknologi baterai nuklir,Still waiting for electric cars using nuclear battery technology,0.0,Netral
40,orang kantor pada bahas2 mau ganti mobil listrik irit kata cocok saya tanya pikir ganti mobil tidak saya jawab ih kalian tau sendiri saya tidak pernah hidup hemat saya suka yang boros2 civic sekali gas duapuluhrebu padahal duit tidak ada anjjj,"office people were discussing whether to change to an economical electric car, the word was suitable, I asked, thinking about changing the car, I didn't answer, you know, I've never lived frugally, I like wasteful civics, gas is twenty thousand even though I don't have any money, anjjj",-0.2755,Negatif
41,semenjak pakai motor listrik dan serius awat sangat minim depan bakal incer mobil tetapi nunggu environmentnya stabil dan seleksi alam dari bagai macam merk merk baru muncul karena beda sama motor mobil buat jarak yang jauh dan jangka,"Since using electric motorbikes and seriously maintaining them, the front is very minimal, I will be looking for cars but waiting for the environment to be stable and natural selection of various new brands to appear because it is different from motorbikes and cars for long distances and long periods.",0.6908,Positif
42,seperti sudah saat alih ke mobil listrik,like it's time to switch to electric cars,0.3612,Positif
43,bingung juga sih pakai mobil listrik kalau mau jalan di daerah gunung atau dearah dalam apa harus sangu power bank,I'm also confused about using an electric car if I want to go in mountainous areas or remote areas. Do I have to bring a power bank?,-0.25,Negatif
44,percuma jual mobil listrik tempat cas ny cuma ada d jabodetabek,It's useless to sell an electric car. The only place to charge it is in Jabodetabek,-0.4215,Negatif
45,wuling airev saja irit mobil listrik budget masuk bisa bawa tidak pikir ganjil genap,"Even the Wuling Airev is an economical budget electric car, you can take it no matter how odd or even",-0.5267,Negatif
46,mobil mobil listrik ini suatu saat bakal jadi limbah industri masa hidup batterynya habis milik malas ganti karena harga mahal,One day these electric cars will become industrial waste when their batteries run out and they are lazy to replace them because they are expensive,-0.6486,Negatif
47,kalau mobil listrik approximately 200300 jt per 5 tahun itu cuma buat battery saja belum masuk biaya charger maintenance pajak tahun parkir dan lain,"for an electric car, approximately 200,300 million per 5 years, that's just for the battery, not including charger maintenance costs, yearly parking taxes and so on.",0.0,Netral
48,kasih mobil listrik kan program perintah,"give me an electric car, right program command",0.0,Netral
49,pernah ngobrol sama supir bluebird kata bluebird jual mobil2 listrik bagi dari armada begitu umur capai 5 tahun karena telah 5 tahun itu kerja nilai turun dan turut usaha daripada beli batere baru baik sekali saja beli mobil,I once chatted with a Bluebird driver who said that Bluebird sells electric cars from the fleet once they reach 5 years of age because after 5 years of work the value goes down and it's better to buy a new battery instead of buying a new car.,0.6597,Positif
50,baterai di beberapa pabrikan garansi mulai dari 8 tahun sampai umur hidup rata2 pakai mobil 510 tahun untuk sepeda listrik garansi baterai hanya 6 bulan sd 1 tahun jangan banding baterai sepeda listrik dan mobil listrik teknologi beda,Some manufacturers have a battery guarantee ranging from 8 years to an average life expectancy in a car of 510 years for electric bicycles. The battery guarantee is only 6 months to 1 year. Don't compare batteries for electric bicycles and electric cars with different technologies.,0.4588,Positif
51,mobil listrik fiturnya sandiwara mulu sudah jelek,Electric cars have bad theatrical features,-0.5423,Negatif
